Customer_ID,Email,First_Name,Last_Name,Age,Gender,City,Satisfaction
10253B,Lwellington@123mail.net,Louis,Wellington,55,Male,Birmingham,3
10542G,AmanFerd@Britishmail.com,Amanda,Ferdinand,21,Female,Glasgow,6
10895M,Charlbl123@123mail.net,Charleyy,Blacksmith,33,Female,Manchester,5
12568L,RogerKillingham@123mail.net,Roger,Killingham,18,Male,Liverpool,9
45126B,Jenson1984@Britishmail.com,Todd,Jenson,42,Male,Birmingham,7
78436G,Smiths2015@britishmail.com,Rebecca,Smith,19,Female,Glasgow,7
56800L,bertyandwade@123mail.net,Berty,Austin,61,Female,Liverpool,8
62541M,Tinseltown@Britishmail.com,Greg,Tinsel,30,Male,Manchester,10
97841B,Edna.Waynes@123mail.net,Edna,Waynes,48,Female,Birmingham,2
32685G,Jbowls@123mail.net,Jonathan,Bowls,25,Male,Glasgow,8
